"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion/Narrative Review","Type Bucket -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"700","H Liu, F Liu, J Li, T Zhang, D Wang, W Lan","Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children.","BACKGROUND: The ongoing outbreak of COVID-19 pneumonia is globally concerning. We aimed to investigate the clinical and CT features in the pregnant women and children with this disease, which have not been well reported.  METHODS: Clinical and CT data of 59 patients with COVID-19 from January 27 to February 14, 2020 were retrospectively reviewed, including 14 laboratory-confirmed non-pregnant adults, 16 laboratory-confirmed and 25 clinically-diagnosed pregnant women, and 4 laboratory-confirmed children. The clinical and CT features were analyzed and compared.  FINDINGS: Compared with the non-pregnant adults group (n = 14), initial normal body temperature (9 [56%] and 16 [64%]), leukocytosis (8 [50%] and 9 [36%]) and elevated neutrophil ratio (14 [88%] and 20 [80%]), and lymphopenia (9 [56%] and 16 [64%]) were more common in the laboratory-confirmed (n = 16) and clinically-diagnosed (n = 25) pregnant groups. Totally 614 lesions were detected with predominantly peripheral and bilateral distributions in 54 (98%) and 37 (67%) patients, respectively. Pure ground-glass opacity (GGO) was the predominant presence in 94/131 (72%) lesions for the non-pregnant adults. Mixed consolidation and complete consolidation were more common in the laboratory-confirmed (70/161 [43%]) and clinically-diagnosed (153/322 [48%]) pregnant groups than 37/131 (28%) in the non-pregnant adults (P = 0·007, P < 0·001). GGO with reticulation was less common in 9/161 (6%) and 16/322 (5%) lesions for the two pregnant groups than 24/131 (18%) for the non-pregnant adults (P = 0·001, P < 0·001). The pulmonary involvement in children with COVID-19 was mild with a focal GGO or consolidation. Twenty-three patients underwent follow-up CT, revealing progression in 9/13 (69%) at 3 days whereas improvement in 8/10 (80%) at 6-9 days after initial CT scans.  INTERPRETATION: Atypical clinical findings of pregnant women with COVID-19 could increase the difficulty in initial identification. Consolidation was more common in the pregnant groups. The clinically-diagnosed cases were vulnerable to more pulmonary involvement. CT was the modality of choice for early detection, severity assessment, and timely therapeutic effects evaluation for the cases with epidemic and clinical features of COVID-19 with or without laboratory confirmation. The exposure history and clinical symptoms were more helpful for screening in children versus chest CT.  ","Mar 2020","The Journal of infection","32171865","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,"General",,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,"Radiology",,,,,,"Natural history studies",,,,"Imaging studies",,,"Yes",
"700","H Liu, F Liu, J Li, T Zhang, D Wang, W Lan","Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children.","BACKGROUND: The ongoing outbreak of COVID-19 pneumonia is globally concerning. We aimed to investigate the clinical and CT features in the pregnant women and children with this disease, which have not been well reported.  METHODS: Clinical and CT data of 59 patients with COVID-19 from January 27 to February 14, 2020 were retrospectively reviewed, including 14 laboratory-confirmed non-pregnant adults, 16 laboratory-confirmed and 25 clinically-diagnosed pregnant women, and 4 laboratory-confirmed children. The clinical and CT features were analyzed and compared.  FINDINGS: Compared with the non-pregnant adults group (n = 14), initial normal body temperature (9 [56%] and 16 [64%]), leukocytosis (8 [50%] and 9 [36%]) and elevated neutrophil ratio (14 [88%] and 20 [80%]), and lymphopenia (9 [56%] and 16 [64%]) were more common in the laboratory-confirmed (n = 16) and clinically-diagnosed (n = 25) pregnant groups. Totally 614 lesions were detected with predominantly peripheral and bilateral distributions in 54 (98%) and 37 (67%) patients, respectively. Pure ground-glass opacity (GGO) was the predominant presence in 94/131 (72%) lesions for the non-pregnant adults. Mixed consolidation and complete consolidation were more common in the laboratory-confirmed (70/161 [43%]) and clinically-diagnosed (153/322 [48%]) pregnant groups than 37/131 (28%) in the non-pregnant adults (P = 0·007, P < 0·001). GGO with reticulation was less common in 9/161 (6%) and 16/322 (5%) lesions for the two pregnant groups than 24/131 (18%) for the non-pregnant adults (P = 0·001, P < 0·001). The pulmonary involvement in children with COVID-19 was mild with a focal GGO or consolidation. Twenty-three patients underwent follow-up CT, revealing progression in 9/13 (69%) at 3 days whereas improvement in 8/10 (80%) at 6-9 days after initial CT scans.  INTERPRETATION: Atypical clinical findings of pregnant women with COVID-19 could increase the difficulty in initial identification. Consolidation was more common in the pregnant groups. The clinically-diagnosed cases were vulnerable to more pulmonary involvement. CT was the modality of choice for early detection, severity assessment, and timely therapeutic effects evaluation for the cases with epidemic and clinical features of COVID-19 with or without laboratory confirmation. The exposure history and clinical symptoms were more helpful for screening in children versus chest CT.  ","Mar 2020","The Journal of infection","32171865","jasper.ho","1","Yes","Cohort Studies",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,"Yes",
"705","CA Devaux, JM Rolain, P Colson, D Raoult","New insights on the antiviral effects of chloroquine against coronavirus: what to expect for COVID-19?","Recently, a novel coronavirus (2019-nCoV), officially known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), emerged in China. Despite drastic containment measures, the spread of this virus is ongoing. SARS-CoV-2 is the aetiological agent of coronavirus disease 2019 (COVID-19) characterised by pulmonary infection in humans. The efforts of international health authorities have since focused on rapid diagnosis and isolation of patients as well as the search for therapies able to counter the most severe effects of the disease. In the absence of a known efficient therapy and because of the situation of a public-health emergency, it made sense to investigate the possible effect of chloroquine/hydroxychloroquine against SARS-CoV-2 since this molecule was previously described as a potent inhibitor of most coronaviruses, including SARS-CoV-1. Preliminary trials of chloroquine repurposing in the treatment of COVID-19 in China have been encouraging, leading to several new trials. Here we discuss the possible mechanisms of chloroquine interference with the SARS-CoV-2 replication cycle.  ","Mar 2020","International journal of antimicrobial agents","32171740","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"705","CA Devaux, JM Rolain, P Colson, D Raoult","New insights on the antiviral effects of chloroquine against coronavirus: what to expect for COVID-19?","Recently, a novel coronavirus (2019-nCoV), officially known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), emerged in China. Despite drastic containment measures, the spread of this virus is ongoing. SARS-CoV-2 is the aetiological agent of coronavirus disease 2019 (COVID-19) characterised by pulmonary infection in humans. The efforts of international health authorities have since focused on rapid diagnosis and isolation of patients as well as the search for therapies able to counter the most severe effects of the disease. In the absence of a known efficient therapy and because of the situation of a public-health emergency, it made sense to investigate the possible effect of chloroquine/hydroxychloroquine against SARS-CoV-2 since this molecule was previously described as a potent inhibitor of most coronaviruses, including SARS-CoV-1. Preliminary trials of chloroquine repurposing in the treatment of COVID-19 in China have been encouraging, leading to several new trials. Here we discuss the possible mechanisms of chloroquine interference with the SARS-CoV-2 replication cycle.  ","Mar 2020","International journal of antimicrobial agents","32171740","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"707","T Qiu, T Mao, Y Wang, M Zhou, J Qiu, J Wang, J Xu, Z Cao","Identification of potential cross-protective epitope between a new type of coronavirus (2019-nCoV) and severe acute respiratory syndrome virus.",,"Jan 2020","Journal of genetics and genomics = Yi chuan xue bao","32171450","Meghanglibbery","1","Yes","Animal or Laboratory Study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"707","T Qiu, T Mao, Y Wang, M Zhou, J Qiu, J Wang, J Xu, Z Cao","Identification of potential cross-protective epitope between a new type of coronavirus (2019-nCoV) and severe acute respiratory syndrome virus.",,"Jan 2020","Journal of genetics and genomics = Yi chuan xue bao","32171450","jasper.ho","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"708","D Baud, X Qi, K Nielsen-Saines, D Musso, L Pomar, G Favre","Real estimates of mortality following COVID-19 infection.",,"Mar 2020","The Lancet. Infectious diseases","32171390","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"708","D Baud, X Qi, K Nielsen-Saines, D Musso, L Pomar, G Favre","Real estimates of mortality following COVID-19 infection.",,"Mar 2020","The Lancet. Infectious diseases","32171390","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,"Natural history studies",,,,,"Letter to the Editor/Opinion/Narrative Review","Statistical modelling/analytical studies","Yes",
"709","H Han, Q Luo, F Mo, L Long, W Zheng","SARS-CoV-2 RNA more readily detected in induced sputum than in throat swabs of convalescent COVID-19 patients.",,"Mar 2020","The Lancet. Infectious diseases","32171389","Meghanglibbery","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"709","H Han, Q Luo, F Mo, L Long, W Zheng","SARS-CoV-2 RNA more readily detected in induced sputum than in throat swabs of convalescent COVID-19 patients.",,"Mar 2020","The Lancet. Infectious diseases","32171389","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"711","P Conti, G Ronconi, A Caraffa, CE Gallenga, R Ross, I Frydas, SK Kritas","Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies.","Coronavirus-19 (COVI-19) involves humans as well as animals and may cause serious damage to the respiratory tract, including the lung: coronavirus disease (COVID-19). This pathogenic virus has been identified in swabs performed on the throat and nose of patients who suffer from or are suspected of the disease. When COVI-19 infect the upper and lower respiratory tract it can cause mild or highly acute respiratory syndrome with consequent release of pro-inflammatory cytokines, including interleukin (IL)-1β and IL-6. 

The binding of COVI-19 to the Toll Like Receptor (TLR) causes the release of pro-IL-1β which is cleaved by caspase-1, followed by inflammasome activation and production of active mature IL-1β which is a mediator of lung inflammation, fever and fibrosis. Suppression of pro-inflammatory IL-1 family members and IL-6 have been shown to have a therapeutic effect in many inflammatory diseases, including viral infections. 

Cytokine IL-37 has the ability to suppress innate and acquired immune response and also has the capacity to inhibit inflammation by acting on IL-18Rα receptor. IL-37 performs its immunosuppressive activity by acting on mTOR and increasing the adenosine monophosphate (AMP) kinase. This cytokine inhibits class II histocompatibility complex (MHC) molecules and inflammation in inflammatory diseases by suppressing MyD88 and subsequently IL-1β, IL-6, TNF and CCL2. The suppression of IL-1β by IL-37 in inflammatory state induced by coronavirus-19 can have a new therapeutic effect previously unknown. Another inhibitory cytokine is IL-38, the newest cytokine of the IL-1 family members, produced by several immune cells including B cells and macrophages. 

IL-38 is also a suppressor cytokine which inhibits IL-1β and other pro-inflammatory IL-family members. IL-38 is a potential therapeutic cytokine which inhibits inflammation in viral infections including that caused by coronavirus-19, providing a new relevant strategy.  ","03 2020","Journal of biological regulators and homeostatic agents","32171193","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lab studies","Reports of interventions/treatments",,,,"Yes",
"711","P Conti, G Ronconi, A Caraffa, CE Gallenga, R Ross, I Frydas, SK Kritas","Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies.","Coronavirus-19 (COVI-19) involves humans as well as animals and may cause serious damage to the respiratory tract, including the lung: coronavirus disease (COVID-19). This pathogenic virus has been identified in swabs performed on the throat and nose of patients who suffer from or are suspected of the disease. When COVI-19 infect the upper and lower respiratory tract it can cause mild or highly acute respiratory syndrome with consequent release of pro-inflammatory cytokines, including interleukin (IL)-1β and IL-6. 

The binding of COVI-19 to the Toll Like Receptor (TLR) causes the release of pro-IL-1β which is cleaved by caspase-1, followed by inflammasome activation and production of active mature IL-1β which is a mediator of lung inflammation, fever and fibrosis. Suppression of pro-inflammatory IL-1 family members and IL-6 have been shown to have a therapeutic effect in many inflammatory diseases, including viral infections. 

Cytokine IL-37 has the ability to suppress innate and acquired immune response and also has the capacity to inhibit inflammation by acting on IL-18Rα receptor. IL-37 performs its immunosuppressive activity by acting on mTOR and increasing the adenosine monophosphate (AMP) kinase. This cytokine inhibits class II histocompatibility complex (MHC) molecules and inflammation in inflammatory diseases by suppressing MyD88 and subsequently IL-1β, IL-6, TNF and CCL2. The suppression of IL-1β by IL-37 in inflammatory state induced by coronavirus-19 can have a new therapeutic effect previously unknown. Another inhibitory cytokine is IL-38, the newest cytokine of the IL-1 family members, produced by several immune cells including B cells and macrophages. 

IL-38 is also a suppressor cytokine which inhibits IL-1β and other pro-inflammatory IL-family members. IL-38 is a potential therapeutic cytokine which inhibits inflammation in viral infections including that caused by coronavirus-19, providing a new relevant strategy.  ","03 2020","Journal of biological regulators and homeostatic agents","32171193","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"Immunology",,,"Microbiology",,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"715","F Zhou, T Yu, R Du, G Fan, Y Liu, Z Liu, J Xiang, Y Wang, B Song, X Gu, L Guan, Y Wei, H Li, X Wu, J Xu, S Tu, Y Zhang, H Chen, B Cao","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study.","BACKGROUND: Since December, 2019, Wuhan, China, has experienced an outbreak of coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Epidemiological and clinical characteristics of patients with COVID-19 have been reported but risk factors for mortality and a detailed clinical course of illness, including viral shedding, have not been well described.  METHODS: In this retrospective, multicentre cohort study, we included all adult inpatients (≥18 years old) with laboratory-confirmed COVID-19 from Jinyintan Hospital and Wuhan Pulmonary Hospital (Wuhan, China) who had been discharged or had died by Jan 31, 2020. Demographic, clinical, treatment, and laboratory data, including serial samples for viral RNA detection, were extracted from electronic medical records and compared between survivors and non-survivors. We used univariable and multivariable logistic regression methods to explore the risk factors associated with in-hospital death.  FINDINGS: 191 patients (135 from Jinyintan Hospital and 56 from Wuhan Pulmonary Hospital) were included in this study, of whom 137 were discharged and 54 died in hospital. 91 (48%) patients had a comorbidity, with hypertension being the most common (58 [30%] patients), followed by diabetes (36 [19%] patients) and coronary heart disease (15 [8%] patients). Multivariable regression showed increasing odds of in-hospital death associated with older age (odds ratio 1·10, 95% CI 1·03-1·17, per year increase; p=0·0043), higher Sequential Organ Failure Assessment (SOFA) score (5·65, 2·61-12·23; p<0·0001), and d-dimer greater than 1 μg/L (18·42, 2·64-128·55; p=0·0033) on admission. Median duration of viral shedding was 20·0 days (IQR 17·0-24·0) in survivors, but SARS-CoV-2 was detectable until death in non-survivors. The longest observed duration of viral shedding in survivors was 37 days.  INTERPRETATION: The potential risk factors of older age, high SOFA score, and d-dimer greater than 1 μg/L could help clinicians to identify patients with poor prognosis at an early stage. Prolonged viral shedding provides the rationale for a strategy of isolation of infected patients and optimal antiviral interventions in the future.  FUNDING: Chinese Academy of Medical Sciences Innovation Fund for Medical Sciences; National Science Grant for Distinguished Young Scholars; National Key Research and Development Program of China; The Beijing Science and Technology Project; and Major Projects of National Science and Technology on New Drug Creation and Development.  ","Mar 2020","Lancet (London, England)","32171076","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,,,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"715","F Zhou, T Yu, R Du, G Fan, Y Liu, Z Liu, J Xiang, Y Wang, B Song, X Gu, L Guan, Y Wei, H Li, X Wu, J Xu, S Tu, Y Zhang, H Chen, B Cao","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study.","BACKGROUND: Since December, 2019, Wuhan, China, has experienced an outbreak of coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Epidemiological and clinical characteristics of patients with COVID-19 have been reported but risk factors for mortality and a detailed clinical course of illness, including viral shedding, have not been well described.  METHODS: In this retrospective, multicentre cohort study, we included all adult inpatients (≥18 years old) with laboratory-confirmed COVID-19 from Jinyintan Hospital and Wuhan Pulmonary Hospital (Wuhan, China) who had been discharged or had died by Jan 31, 2020. Demographic, clinical, treatment, and laboratory data, including serial samples for viral RNA detection, were extracted from electronic medical records and compared between survivors and non-survivors. We used univariable and multivariable logistic regression methods to explore the risk factors associated with in-hospital death.  FINDINGS: 191 patients (135 from Jinyintan Hospital and 56 from Wuhan Pulmonary Hospital) were included in this study, of whom 137 were discharged and 54 died in hospital. 91 (48%) patients had a comorbidity, with hypertension being the most common (58 [30%] patients), followed by diabetes (36 [19%] patients) and coronary heart disease (15 [8%] patients). Multivariable regression showed increasing odds of in-hospital death associated with older age (odds ratio 1·10, 95% CI 1·03-1·17, per year increase; p=0·0043), higher Sequential Organ Failure Assessment (SOFA) score (5·65, 2·61-12·23; p<0·0001), and d-dimer greater than 1 μg/L (18·42, 2·64-128·55; p=0·0033) on admission. Median duration of viral shedding was 20·0 days (IQR 17·0-24·0) in survivors, but SARS-CoV-2 was detectable until death in non-survivors. The longest observed duration of viral shedding in survivors was 37 days.  INTERPRETATION: The potential risk factors of older age, high SOFA score, and d-dimer greater than 1 μg/L could help clinicians to identify patients with poor prognosis at an early stage. Prolonged viral shedding provides the rationale for a strategy of isolation of infected patients and optimal antiviral interventions in the future.  FUNDING: Chinese Academy of Medical Sciences Innovation Fund for Medical Sciences; National Science Grant for Distinguished Young Scholars; National Key Research and Development Program of China; The Beijing Science and Technology Project; and Major Projects of National Science and Technology on New Drug Creation and Development.  ","Mar 2020","Lancet (London, England)","32171076","jasper.ho","1","Yes","Cohort Studies",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,"Yes",
"718","H Cai","Sex difference and smoking predisposition in patients with COVID-19.",,"Mar 2020","The Lancet. Respiratory medicine","32171067","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"718","H Cai","Sex difference and smoking predisposition in patients with COVID-19.",,"Mar 2020","The Lancet. Respiratory medicine","32171067","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,"Respirology",,,,,,,,"Natural history studies",,,,,,,"Yes",
"719","RR Ayebare, R Flick, S Okware, B Bodo, M Lamorde","Adoption of COVID-19 triage strategies for low-income settings.",,"Mar 2020","The Lancet. Respiratory medicine","32171063","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"719","RR Ayebare, R Flick, S Okware, B Bodo, M Lamorde","Adoption of COVID-19 triage strategies for low-income settings.",,"Mar 2020","The Lancet. Respiratory medicine","32171063","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"720","L Fang, G Karakiulakis, M Roth","Are patients with hypertension and diabetes mellitus at increased risk for COVID-19 infection?",,"Mar 2020","The Lancet. Respiratory medicine","32171062","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"720","L Fang, G Karakiulakis, M Roth","Are patients with hypertension and diabetes mellitus at increased risk for COVID-19 infection?",,"Mar 2020","The Lancet. Respiratory medicine","32171062","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"721","AJ Kucharski, TW Russell, C Diamond, Y Liu, J Edmunds, S Funk, RM Eggo,  ","Early dynamics of transmission and control of COVID-19: a mathematical modelling study.","BACKGROUND: An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to 95 333 confirmed cases as of March 5, 2020. Understanding the early transmission dynamics of the infection and evaluating the effectiveness of control measures is crucial for assessing the potential for sustained transmission to occur in new areas. Combining a mathematical model of severe SARS-CoV-2 transmission with four datasets from within and outside Wuhan, we estimated how transmission in Wuhan varied between December, 2019, and February, 2020. We used these estimates to assess the potential for sustained human-to-human transmission to occur in locations outside Wuhan if cases were introduced.  METHODS: We combined a stochastic transmission model with data on cases of coronavirus disease 2019 (COVID-19) in Wuhan and international cases that originated in Wuhan to estimate how transmission had varied over time during January, 2020, and February, 2020. Based on these estimates, we then calculated the probability that newly introduced cases might generate outbreaks in other areas. To estimate the early dynamics of transmission in Wuhan, we fitted a stochastic transmission dynamic model to multiple publicly available datasets on cases in Wuhan and internationally exported cases from Wuhan. The four datasets we fitted to were: daily number of new internationally exported cases (or lack thereof), by date of onset, as of Jan 26, 2020; daily number of new cases in Wuhan with no market exposure, by date of onset, between Dec 1, 2019, and Jan 1, 2020; daily number of new cases in China, by date of onset, between Dec 29, 2019, and Jan 23, 2020; and proportion of infected passengers on evacuation flights between Jan 29, 2020, and Feb 4, 2020. We used an additional two datasets for comparison with model outputs: daily number of new exported cases from Wuhan (or lack thereof) in countries with high connectivity to Wuhan (ie, top 20 most at-risk countries), by date of confirmation, as of Feb 10, 2020; and data on new confirmed cases reported in Wuhan between Jan 16, 2020, and Feb 11, 2020.  FINDINGS: We estimated that the median daily reproduction number (R) in Wuhan declined from 2·35 (95% CI 1·15-4·77) 1 week before travel restrictions were introduced on Jan 23, 2020, to 1·05 (0·41-2·39) 1 week after. Based on our estimates of R, assuming SARS-like variation, we calculated that in locations with similar transmission potential to Wuhan in early January, once there are at least four independently introduced cases, there is a more than 50% chance the infection will establish within that population.  INTERPRETATION: Our results show that COVID-19 transmission probably declined in Wuhan during late January, 2020, coinciding with the introduction of travel control measures. As more cases arrive in international locations with similar transmission potential to Wuhan before these control measures, it is likely many chains of transmission will fail to establish initially, but might lead to new outbreaks eventually.  FUNDING: Wellcome Trust, Health Data Research UK, Bill & Melinda Gates Foundation, and National Institute for Health Research.  ","Mar 2020","The Lancet. Infectious diseases","32171059","Meghanglibbery","1","Yes","Statistical modelling/analytical study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statistical modelling/analytical studies","Yes",
"721","AJ Kucharski, TW Russell, C Diamond, Y Liu, J Edmunds, S Funk, RM Eggo,  ","Early dynamics of transmission and control of COVID-19: a mathematical modelling study.","BACKGROUND: An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to 95 333 confirmed cases as of March 5, 2020. Understanding the early transmission dynamics of the infection and evaluating the effectiveness of control measures is crucial for assessing the potential for sustained transmission to occur in new areas. Combining a mathematical model of severe SARS-CoV-2 transmission with four datasets from within and outside Wuhan, we estimated how transmission in Wuhan varied between December, 2019, and February, 2020. We used these estimates to assess the potential for sustained human-to-human transmission to occur in locations outside Wuhan if cases were introduced.  METHODS: We combined a stochastic transmission model with data on cases of coronavirus disease 2019 (COVID-19) in Wuhan and international cases that originated in Wuhan to estimate how transmission had varied over time during January, 2020, and February, 2020. Based on these estimates, we then calculated the probability that newly introduced cases might generate outbreaks in other areas. To estimate the early dynamics of transmission in Wuhan, we fitted a stochastic transmission dynamic model to multiple publicly available datasets on cases in Wuhan and internationally exported cases from Wuhan. The four datasets we fitted to were: daily number of new internationally exported cases (or lack thereof), by date of onset, as of Jan 26, 2020; daily number of new cases in Wuhan with no market exposure, by date of onset, between Dec 1, 2019, and Jan 1, 2020; daily number of new cases in China, by date of onset, between Dec 29, 2019, and Jan 23, 2020; and proportion of infected passengers on evacuation flights between Jan 29, 2020, and Feb 4, 2020. We used an additional two datasets for comparison with model outputs: daily number of new exported cases from Wuhan (or lack thereof) in countries with high connectivity to Wuhan (ie, top 20 most at-risk countries), by date of confirmation, as of Feb 10, 2020; and data on new confirmed cases reported in Wuhan between Jan 16, 2020, and Feb 11, 2020.  FINDINGS: We estimated that the median daily reproduction number (R) in Wuhan declined from 2·35 (95% CI 1·15-4·77) 1 week before travel restrictions were introduced on Jan 23, 2020, to 1·05 (0·41-2·39) 1 week after. Based on our estimates of R, assuming SARS-like variation, we calculated that in locations with similar transmission potential to Wuhan in early January, once there are at least four independently introduced cases, there is a more than 50% chance the infection will establish within that population.  INTERPRETATION: Our results show that COVID-19 transmission probably declined in Wuhan during late January, 2020, coinciding with the introduction of travel control measures. As more cases arrive in international locations with similar transmission potential to Wuhan before these control measures, it is likely many chains of transmission will fail to establish initially, but might lead to new outbreaks eventually.  FUNDING: Wellcome Trust, Health Data Research UK, Bill & Melinda Gates Foundation, and National Institute for Health Research.  ","Mar 2020","The Lancet. Infectious diseases","32171059","jasper.ho","1","Yes","Statistical modelling/analytical study",,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,,,,,,"Statistical modelling/analytical studies","Yes",
"722","R Mao, J Liang, J Shen, S Ghosh, LR Zhu, H Yang, KC Wu, MH Chen,  ,  ","Implications of COVID-19 for patients with pre-existing digestive diseases.",,"Mar 2020","The lancet. Gastroenterology & hepatology","32171057","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"722","R Mao, J Liang, J Shen, S Ghosh, LR Zhu, H Yang, KC Wu, MH Chen,  ,  ","Implications of COVID-19 for patients with pre-existing digestive diseases.",,"Mar 2020","The lancet. Gastroenterology & hepatology","32171057","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
