Refid,Author,Title,Date,Journal,PMID,User,Level,Were you able to find the article? ,Type of Study,Sample Size,Sample Size is >5 (Case Reports ONLY) ,Speciality Bucket -> Anesthesia,Speciality Bucket -> Cardiology,Speciality Bucket -> Emergency Medicine,Speciality Bucket -> Family Medicine,Speciality Bucket -> Gastroenterology,Speciality Bucket -> General,Speciality Bucket -> Immunology,Speciality Bucket -> Internal Medicine,Speciality Bucket -> ICU,Speciality Bucket -> Medical Education,Speciality Bucket -> OBGYN,Speciality Bucket -> Oncology,Speciality Bucket -> Peds,Speciality Bucket -> Psych,Speciality Bucket -> Respirology,Speciality Bucket -> Rheumatology,Speciality Bucket -> Radiology,Speciality Bucket -> Other,Speciality Bucket -> Other (COMMENT),Type Bucket -> Evidence-based guidance documents and guidelines,Type Bucket -> High quality descriptive studies,Type Bucket -> Natural history studies,Type Bucket -> Case report,Type Bucket -> Reports of interventions/treatments,Type Bucket -> Imaging studies,Type Bucket -> Letter to the Editor/Opinion,Type Bucket -> Not in English,Type Bucket -> Other,Type Bucket -> Other (COMMENT),Should this reference be included in the next stage? 
600,"H Lau, V Khosrawipour, P Kocbach, A Mikolajczyk, J Schubert, J Bania, T Khosrawipour",The positive impact of lockdown in Wuhan on containing the COVID-19 outbreak in China.,20-Mar,Journal of travel medicine,32181488,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,Other,Public Health,,High quality descriptive studies,Natural history studies,,,,,,,,Yes
602,DA Schwartz,"An Analysis of 38 Pregnant Women with COVID-19, Their Newborn Infants, and Maternal-Fetal Transmission of SARS-CoV-2: Maternal Coronavirus Infections and Pregnancy Outcomes.",20-Mar,Archives of pathology & laboratory medicine,32180426,kearneh,1,Yes,Case Series/Report,38,Yes,,,,,,,,,,,OBGYN,,Peds,,,,,,,,,,Case report,,,,,,,Yes
602,DA Schwartz,"An Analysis of 38 Pregnant Women with COVID-19, Their Newborn Infants, and Maternal-Fetal Transmission of SARS-CoV-2: Maternal Coronavirus Infections and Pregnancy Outcomes.",20-Mar,Archives of pathology & laboratory medicine,32180426,becky.jones,1,Yes,Case Series/Report,38,Yes,,,,,,,,,,,OBGYN,,Peds,,,,,,,,,,Case report,,,,,,,Yes
603,"E Mullins, D Evans, RM Viner, P O'Brien, E Morris",Coronavirus in pregnancy and delivery: rapid review.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32180292,kearneh,1,Yes,Systematic Review,32,,,,,,,,,,,,OBGYN,,,,,,,,,,,,Case report,,,,,,,Yes
603,"E Mullins, D Evans, RM Viner, P O'Brien, E Morris",Coronavirus in pregnancy and delivery: rapid review.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32180292,becky.jones,1,Yes,Systematic Review,,N/A - pick if not case report,,,,,,,,,,,OBGYN,,Peds,,,,,,,Evidence-based guidance documents and guidelines,,Natural history studies,,,,,,,,Yes
604,"B Dholaria, BN Savani",How do we plan hematopoietic cell transplant and cellular therapy with the looming COVID-19 threat?,20-Mar,British journal of haematology,32180224,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
604,"B Dholaria, BN Savani",How do we plan hematopoietic cell transplant and cellular therapy with the looming COVID-19 threat?,20-Mar,British journal of haematology,32180224,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Hematology,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
605,"R Chen, Y Zhang, L Huang, BH Cheng, ZY Xia, QT Meng",Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients.,20-Mar,Canadian journal of anaesthesia = Journal canadien d'anesthesie,32180175,kearneh,1,Yes,Case Series/Report,17,Yes,Anesthesia,,,,,,,,,,OBGYN,,,,,,,,,,,,Case report,,,,,,,Yes
605,"R Chen, Y Zhang, L Huang, BH Cheng, ZY Xia, QT Meng",Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients.,20-Mar,Canadian journal of anaesthesia = Journal canadien d'anesthesie,32180175,jasper.ho,1,Yes,Case Series/Report,17,Yes,Anesthesia,,,,,,,,,,OBGYN,,,,,,,,,,,,Case report,,,,,,,Yes
606,"R Aminnejad, A Salimi, M Saeidi",Lidocaine during intubation and extubation in patients with coronavirus disease (COVID-19).,20-Mar,Canadian journal of anaesthesia = Journal canadien d'anesthesie,32180173,kearneh,1,Yes,Narrative Review/Expert Opinion,,,Anesthesia,,,,,,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
606,"R Aminnejad, A Salimi, M Saeidi",Lidocaine during intubation and extubation in patients with coronavirus disease (COVID-19).,20-Mar,Canadian journal of anaesthesia = Journal canadien d'anesthesie,32180173,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,Anesthesia,,,,,,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
608,"LN Ji, S Chao, YJ Wang, XJ Li, XD Mu, MG Lin, RM Jiang",Clinical features of pediatric patients with COVID-19: a report of two family cluster cases.,20-Mar,World journal of pediatrics : WJP,32180140,kearneh,1,Yes,Case Series/Report,2,No,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
608,"LN Ji, S Chao, YJ Wang, XJ Li, XD Mu, MG Lin, RM Jiang",Clinical features of pediatric patients with COVID-19: a report of two family cluster cases.,20-Mar,World journal of pediatrics : WJP,32180140,Daniellevin,1,Yes,Case Series/Report,,No,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
609,"Y Wang, Y Liu, L Liu, X Wang, N Luo, L Ling","Clinical outcome of 55 asymptomatic cases at the time of hospital admission infected with SARS-Coronavirus-2 in Shenzhen, China.",20-Mar,The Journal of infectious diseases,32179910,kearneh,1,Yes,Case Series/Report,55,Yes,,,,Family Medicine,,General,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
609,"Y Wang, Y Liu, L Liu, X Wang, N Luo, L Ling","Clinical outcome of 55 asymptomatic cases at the time of hospital admission infected with SARS-Coronavirus-2 in Shenzhen, China.",20-Mar,The Journal of infectious diseases,32179910,Daniellevin,1,Yes,Case Series/Report,55,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
609,"Y Wang, Y Liu, L Liu, X Wang, N Luo, L Ling","Clinical outcome of 55 asymptomatic cases at the time of hospital admission infected with SARS-Coronavirus-2 in Shenzhen, China.",20-Mar,The Journal of infectious diseases,32179910,jasper.ho,1,Yes,Case Series/Report,55,Yes,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
610,"Y Cui, M Tian, D Huang, X Wang, Y Huang, L Fan, L Wang, Y Chen, W Liu, K Zhang, Y Wu, Z Yang, J Tao, J Feng, K Liu, X Ye, R Wang, X Zhang, Y Zha","A 55-Day-Old Female Infant infected with COVID 19: presenting with pneumonia, liver injury, and heart damage.",20-Mar,The Journal of infectious diseases,32179908,kearneh,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
610,"Y Cui, M Tian, D Huang, X Wang, Y Huang, L Fan, L Wang, Y Chen, W Liu, K Zhang, Y Wu, Z Yang, J Tao, J Feng, K Liu, X Ye, R Wang, X Zhang, Y Zha","A 55-Day-Old Female Infant infected with COVID 19: presenting with pneumonia, liver injury, and heart damage.",20-Mar,The Journal of infectious diseases,32179908,Daniellevin,1,Yes,Case Series/Report,,No,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
610,"Y Cui, M Tian, D Huang, X Wang, Y Huang, L Fan, L Wang, Y Chen, W Liu, K Zhang, Y Wu, Z Yang, J Tao, J Feng, K Liu, X Ye, R Wang, X Zhang, Y Zha","A 55-Day-Old Female Infant infected with COVID 19: presenting with pneumonia, liver injury, and heart damage.",20-Mar,The Journal of infectious diseases,32179908,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
611,"L Ran, X Chen, Y Wang, W Wu, L Zhang, X Tan",Risk Factors of Healthcare Workers with Corona Virus Disease 2019: A Retrospective Cohort Study in a Designated Hospital of Wuhan in China.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32179890,kearneh,1,Yes,Cohort Studies,72,,,,,,,General,,Internal Medicine,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
611,"L Ran, X Chen, Y Wang, W Wu, L Zhang, X Tan",Risk Factors of Healthcare Workers with Corona Virus Disease 2019: A Retrospective Cohort Study in a Designated Hospital of Wuhan in China.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32179890,Daniellevin,1,Yes,Cohort Studies,72,,,,,,,General,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
611,"L Ran, X Chen, Y Wang, W Wu, L Zhang, X Tan",Risk Factors of Healthcare Workers with Corona Virus Disease 2019: A Retrospective Cohort Study in a Designated Hospital of Wuhan in China.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32179890,jasper.ho,1,Yes,Cohort Studies,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
620,"SA Baron, C Devaux, P Colson, D Raoult, JM Rolain",Teicoplanin: an alternative drug for the treatment of coronavirus COVID-19?,20-Mar,International journal of antimicrobial agents,32179150,kearneh,1,Yes,Other,,,,,,,,General,,,,,,,,,,,,Other,Infectious Disease,,,,,Reports of interventions/treatments,,Letter to the Editor/Opinion,,,,Yes
620,"SA Baron, C Devaux, P Colson, D Raoult, JM Rolain",Teicoplanin: an alternative drug for the treatment of coronavirus COVID-19?,20-Mar,International journal of antimicrobial agents,32179150,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,Immunology,,ICU,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
620,"SA Baron, C Devaux, P Colson, D Raoult, JM Rolain",Teicoplanin: an alternative drug for the treatment of coronavirus COVID-19?,20-Mar,International journal of antimicrobial agents,32179150,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Virology,,,,,,,Letter to the Editor/Opinion,,,,Yes
621,"T Xu, C Chen, Z Zhu, M Cui, C Chen, H Dai, Y Xue",Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19.,20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32179140,kearneh,1,Yes,Cohort Studies,51,,,,,,,,,Internal Medicine,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
621,"T Xu, C Chen, Z Zhu, M Cui, C Chen, H Dai, Y Xue",Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19.,20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32179140,Daniellevin,1,Yes,Cohort Studies,51,Yes,,,,Family Medicine,,General,,,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
621,"T Xu, C Chen, Z Zhu, M Cui, C Chen, H Dai, Y Xue",Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19.,20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32179140,jasper.ho,1,Yes,Case Series/Report,51,Yes,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
623,"A Wang, W Zhao, Z Xu, J Gu",Timely blood glucose management for the outbreak of 2019 novel coronavirus disease (COVID-19) is urgently needed.,20-Mar,Diabetes research and clinical practice,32179126,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
623,"A Wang, W Zhao, Z Xu, J Gu",Timely blood glucose management for the outbreak of 2019 novel coronavirus disease (COVID-19) is urgently needed.,20-Mar,Diabetes research and clinical practice,32179126,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
624,"JC Lagier, P Colson, H Tissot Dupont, J Salomon, B Doudier, C Aubry, F Gouriet, S Baron, P Dudouet, R Flores, L Ailhaud, P Gautret, P Parola, B La Scola, D Raoult, P Brouqui",Testing the repatriated for SARS-Cov2: Should laboratory-based quarantine replace traditional quarantine?,20-Mar,Travel medicine and infectious disease,32179125,kearneh,1,Yes,Cohort Studies,337,,,,,,,General,,,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
624,"JC Lagier, P Colson, H Tissot Dupont, J Salomon, B Doudier, C Aubry, F Gouriet, S Baron, P Dudouet, R Flores, L Ailhaud, P Gautret, P Parola, B La Scola, D Raoult, P Brouqui",Testing the repatriated for SARS-Cov2: Should laboratory-based quarantine replace traditional quarantine?,20-Mar,Travel medicine and infectious disease,32179125,Daniellevin,1,Yes,Case Series/Report,337,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
624,"JC Lagier, P Colson, H Tissot Dupont, J Salomon, B Doudier, C Aubry, F Gouriet, S Baron, P Dudouet, R Flores, L Ailhaud, P Gautret, P Parola, B La Scola, D Raoult, P Brouqui",Testing the repatriated for SARS-Cov2: Should laboratory-based quarantine replace traditional quarantine?,20-Mar,Travel medicine and infectious disease,32179125,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Public health,,,,,Reports of interventions/treatments,,Letter to the Editor/Opinion,,,,Yes
625,"AJ Rodriguez-Morales, JA Cardona-Ospina, E Gutiérrez-Ocampo, R Villamizar-Peña, Y Holguin-Rivera, JP Escalera-Antezana, LE Alvarado-Arnez, DK Bonilla-Aldana, C Franco-Paredes, AF Henao-Martinez, A Paniz-Mondolfi, GJ Lagos-Grisales, E Ramírez-Vallejo, JA Suárez, LI Zambrano, WE Villamil-Gómez, GJ Balbin-Ramon, AA Rabaan, H Harapan, K Dhama, H Nishiura, H Kataoka, T Ahmad, R Sah,  ","Clinical, laboratory and imaging features of COVID-19: A systematic review and meta-analysis.",20-Mar,Travel medicine and infectious disease,32179124,kearneh,1,Yes,Systematic Review,,,,,,,,,,,ICU,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
625,"AJ Rodriguez-Morales, JA Cardona-Ospina, E Gutiérrez-Ocampo, R Villamizar-Peña, Y Holguin-Rivera, JP Escalera-Antezana, LE Alvarado-Arnez, DK Bonilla-Aldana, C Franco-Paredes, AF Henao-Martinez, A Paniz-Mondolfi, GJ Lagos-Grisales, E Ramírez-Vallejo, JA Suárez, LI Zambrano, WE Villamil-Gómez, GJ Balbin-Ramon, AA Rabaan, H Harapan, K Dhama, H Nishiura, H Kataoka, T Ahmad, R Sah,  ","Clinical, laboratory and imaging features of COVID-19: A systematic review and meta-analysis.",20-Mar,Travel medicine and infectious disease,32179124,jasper.ho,1,Yes,Meta Analysis,,N/A - pick if not case report,,,Emergency Medicine,,,General,,Internal Medicine,ICU,,,,,,,,Radiology,,,,High quality descriptive studies,Natural history studies,,,Imaging studies,,,,,Yes
626,"W Hao, M Li",Clinical diagnostic value of CT imaging in COVID-19 with multiple negative RT-PCR testing.,20-Mar,Travel medicine and infectious disease,32179123,kearneh,1,Yes,Case Series/Report,1,No,,,,,,,,Internal Medicine,,,,,,,,,,,,,,Natural history studies,Case report,,Imaging studies,,,,,Yes
626,"W Hao, M Li",Clinical diagnostic value of CT imaging in COVID-19 with multiple negative RT-PCR testing.,20-Mar,Travel medicine and infectious disease,32179123,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
628,"A Repici, R Maselli, M Colombo, R Gabbiadini, M Spadaccini, A Anderloni, S Carrara, A Fugazza, M Di Leo, PA Galtieri, G Pellegatta, EC Ferrara, E Azzolini, M Lagioia",Coronavirus (COVID-19) outbreak: what the department of endoscopy should know.,20-Mar,Gastrointestinal endoscopy,32179106,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,Gastroenterology,,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
628,"A Repici, R Maselli, M Colombo, R Gabbiadini, M Spadaccini, A Anderloni, S Carrara, A Fugazza, M Di Leo, PA Galtieri, G Pellegatta, EC Ferrara, E Azzolini, M Lagioia",Coronavirus (COVID-19) outbreak: what the department of endoscopy should know.,20-Mar,Gastrointestinal endoscopy,32179106,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,Gastroenterology,,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
629,"G Lippi, M Plebani, B Michael Henry",Thrombocytopenia is associated with severe coronavirus disease 2019 (COVID-19) infections: A meta-analysis.,20-Mar,Clinica chimica acta; international journal of clinical chemistry,32178975,kearneh,1,Yes,Meta Analysis,,,,,,,,General,,Internal Medicine,,,,,,,,,,,,,High quality descriptive studies,Natural history studies,,,,,,,,Yes
629,"G Lippi, M Plebani, B Michael Henry",Thrombocytopenia is associated with severe coronavirus disease 2019 (COVID-19) infections: A meta-analysis.,20-Mar,Clinica chimica acta; international journal of clinical chemistry,32178975,Daniellevin,1,Yes,Meta Analysis,1779,,,,Emergency Medicine,Family Medicine,,General,,Internal Medicine,ICU,,,Oncology,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
631,"S Zhao, K Ling, H Yan, L Zhong, X Peng, S Yao, J Huang, X Chen",Anesthetic Management of Patients With Suspected or Confirmed 2019 Novel Coronavirus Infection During Emergency Procedures.,20-Feb,Journal of cardiothoracic and vascular anesthesia,32178954,kearneh,1,Yes,Cohort Studies,,,Anesthesia,,,,,,,,,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
631,"S Zhao, K Ling, H Yan, L Zhong, X Peng, S Yao, J Huang, X Chen",Anesthetic Management of Patients With Suspected or Confirmed 2019 Novel Coronavirus Infection During Emergency Procedures.,20-Feb,Journal of cardiothoracic and vascular anesthesia,32178954,jasper.ho,1,Yes,Cohort Studies,,N/A - pick if not case report,Anesthesia,,,,,,,,,,,,,,,,,Other,Surgery,Evidence-based guidance documents and guidelines,,,,Reports of interventions/treatments,,,,,,Yes
632,BM Henry,"COVID-19, ECMO, and lymphopenia: a word of caution.",20-Mar,The Lancet. Respiratory medicine,32178774,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
632,BM Henry,"COVID-19, ECMO, and lymphopenia: a word of caution.",20-Mar,The Lancet. Respiratory medicine,32178774,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,ICU,,,,,,Respirology,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
632,BM Henry,"COVID-19, ECMO, and lymphopenia: a word of caution.",20-Mar,The Lancet. Respiratory medicine,32178774,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,ICU,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
640,"G Yang, H Zhang, Y Yang",Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19.,,Integrative cancer therapies,32178547,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,Oncology,,,,,,,,Evidence-based guidance documents and guidelines,,Natural history studies,,,,,,,,Yes
640,"G Yang, H Zhang, Y Yang",Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19.,,Integrative cancer therapies,32178547,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,Oncology,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
640,"G Yang, H Zhang, Y Yang",Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19.,,Integrative cancer therapies,32178547,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Chinese traditional medicine,,,,,,,Letter to the Editor/Opinion,,,,Yes
643,"Z Wang, B Yang, Q Li, L Wen, R Zhang","Clinical Features of 69 Cases with Coronavirus Disease 2019 in Wuhan, China.",20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32176772,kearneh,1,Yes,Case Series/Report,69,Yes,,,,,,,,Internal Medicine,,,,,,,,,,,,,,Natural history studies,Case report,,,,,,,Yes
643,"Z Wang, B Yang, Q Li, L Wen, R Zhang","Clinical Features of 69 Cases with Coronavirus Disease 2019 in Wuhan, China.",20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32176772,Daniellevin,1,Yes,Case Series/Report,69,Yes,,,,,,,,Internal Medicine,ICU,,,,,,,,,,,,,,Case report,,,,,,,Yes
646,"Y Peng, YH Zhou",Is novel coronavirus disease (COVID-19) transmitted through conjunctiva?,20-Mar,Journal of medical virology,32176356,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,Other,Optho,,,,,,,Letter to the Editor/Opinion,,,,Yes
646,"Y Peng, YH Zhou",Is novel coronavirus disease (COVID-19) transmitted through conjunctiva?,20-Mar,Journal of medical virology,32176356,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,Other,Opthmology,,,,,,,Letter to the Editor/Opinion,,,,Yes
648,"K Ng, BH Poon, TH Kiat Puar, JL Shan Quah, WJ Loh, YJ Wong, TY Tan, J Raghuram",COVID-19 and the Risk to Health Care Workers: A Case Report.,20-Mar,Annals of internal medicine,32176257,kearneh,1,Yes,Case Series/Report,41,Yes,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
648,"K Ng, BH Poon, TH Kiat Puar, JL Shan Quah, WJ Loh, YJ Wong, TY Tan, J Raghuram",COVID-19 and the Risk to Health Care Workers: A Case Report.,20-Mar,Annals of internal medicine,32176257,Daniellevin,1,Yes,Case Series/Report,41,Yes,,,,,,,,,ICU,,,,,,,,,,,,,,Case report,,,,,,,Yes
650,"I Seah, R Agrawal",Can the Coronavirus Disease 2019 (COVID-19) Affect the Eyes? A Review of Coronaviruses and Ocular Implications in Humans and Animals.,20-Mar,Ocular immunology and inflammation,32175797,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,Other,Optho,,,,,,,Letter to the Editor/Opinion,,,,Yes
650,"I Seah, R Agrawal",Can the Coronavirus Disease 2019 (COVID-19) Affect the Eyes? A Review of Coronaviruses and Ocular Implications in Humans and Animals.,20-Mar,Ocular immunology and inflammation,32175797,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,Other,Opthmalogy,,,,,,,Letter to the Editor/Opinion,,,,Yes
654,"YXJ Wang, WH Liu, M Yang, W Chen",The role of CT for Covid-19 patient's management remains poorly defined.,20-Feb,Annals of translational medicine,32175437,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,Letter to the Editor/Opinion,,,,Yes
654,"YXJ Wang, WH Liu, M Yang, W Chen",The role of CT for Covid-19 patient's management remains poorly defined.,20-Feb,Annals of translational medicine,32175437,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,Radiology,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
661,"S Salehi, A Abedi, S Balakrishnan, A Gholamrezanezhad",Coronavirus Disease 2019 (COVID-19): A Systematic Review of Imaging Findings in 919 Patients.,20-Mar,AJR. American journal of roentgenology,32174129,kearneh,1,Yes,Systematic Review,919,,,,,,,,,,,,,,,,,,Radiology,,,,High quality descriptive studies,,,,,,,,,Yes
661,"S Salehi, A Abedi, S Balakrishnan, A Gholamrezanezhad",Coronavirus Disease 2019 (COVID-19): A Systematic Review of Imaging Findings in 919 Patients.,20-Mar,AJR. American journal of roentgenology,32174129,Daniellevin,1,Yes,Systematic Review,919,,,,,,,,,,,,,,,,,,Radiology,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
662,"Z Cheng, Y Lu, Q Cao, L Qin, Z Pan, F Yan, W Yang","Clinical Features and Chest CT Manifestations of Coronavirus Disease 2019 (COVID-19) in a Single-Center Study in Shanghai, China.",20-Mar,AJR. American journal of roentgenology,32174128,kearneh,1,Yes,Cohort Studies,33,,,,,,,,,,,,,,,,,,Radiology,,,,,Natural history studies,,,Imaging studies,,,,,Yes
662,"Z Cheng, Y Lu, Q Cao, L Qin, Z Pan, F Yan, W Yang","Clinical Features and Chest CT Manifestations of Coronavirus Disease 2019 (COVID-19) in a Single-Center Study in Shanghai, China.",20-Mar,AJR. American journal of roentgenology,32174128,Daniellevin,1,Yes,Case Control Studies,33,N/A - pick if not case report,,,,,,General,,,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
663,"J Zhang, P Peng, X Li, YF Zha, GN Zhang, Y Zhang, Y Xiang",[Management strategies for patients with gynecological malignancies during the outbreak of COVID19].,20-Mar,Zhonghua fu chan ke za zhi,32174096,kearneh,1,Yes,Case Series/Report,,,,,,,,,,,,,OBGYN,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
663,"J Zhang, P Peng, X Li, YF Zha, GN Zhang, Y Zhang, Y Xiang",[Management strategies for patients with gynecological malignancies during the outbreak of COVID19].,20-Mar,Zhonghua fu chan ke za zhi,32174096,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,OBGYN,Oncology,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
667,"F Shi, Q Yu, W Huang, C Tan",2019 Novel Coronavirus (COVID-19) Pneumonia with Hemoptysis as the Initial Symptom: CT and Clinical Features.,20-Mar,Korean journal of radiology,32174057,kearneh,1,Yes,Case Series/Report,1,No,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
667,"F Shi, Q Yu, W Huang, C Tan",2019 Novel Coronavirus (COVID-19) Pneumonia with Hemoptysis as the Initial Symptom: CT and Clinical Features.,20-Mar,Korean journal of radiology,32174057,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,Radiology,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
673,"J Willan, AJ King, S Hayes, GP Collins, A Peniket",Care of haematology patients in a COVID-19 epidemic.,20-Mar,British journal of haematology,32173855,kearneh,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,,,,,,,,,,Other,Hematology,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
673,"J Willan, AJ King, S Hayes, GP Collins, A Peniket",Care of haematology patients in a COVID-19 epidemic.,20-Mar,British journal of haematology,32173855,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,,,,,,,,,,Other,Hematology,,,,,,,Letter to the Editor/Opinion,,,,Yes
